id,name,first_name,last_name,member_id,member_type,location_id,person_id,workspace_id,license_id,virtual_line_id,group_id,route_group_id,connection_type,language,address_1,city,state,postal_code,country,direct_number,webex_calling_enabled,source_method,raw_keys,raw_json
Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM,admin@jmareschlop-6xlr.wbx.ai,,,Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM,user,,Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM,,,,Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvMWRkNTQ2ZmUtMWRiMi00YzM1LWEwNjItMWFjYWY0NzZkYTQ0OmU1ZjdkOTczLWIyNjktNDY4Ni05OTdlLTQ1MTE5MTY4Y2VkMg,,,,,,,,,,False,groups.members,"display_name,member_id,member_type","{""display_name"": ""admin@jmareschlop-6xlr.wbx.ai"", ""member_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM"", ""member_type"": ""user""}"
Y2lzY29zcGFyazovL3VzL1BFT1BMRS8xZWZiZjQ1Ny0zZWRkLTQ0MDUtYWNhYi1hNGZjMjY4ZmMyM2I,Ana Fernández,,,Y2lzY29zcGFyazovL3VzL1BFT1BMRS8xZWZiZjQ1Ny0zZWRkLTQ0MDUtYWNhYi1hNGZjMjY4ZmMyM2I,user,,Y2lzY29zcGFyazovL3VzL1BFT1BMRS8xZWZiZjQ1Ny0zZWRkLTQ0MDUtYWNhYi1hNGZjMjY4ZmMyM2I,,,,Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvMWRkNTQ2ZmUtMWRiMi00YzM1LWEwNjItMWFjYWY0NzZkYTQ0OmU1ZjdkOTczLWIyNjktNDY4Ni05OTdlLTQ1MTE5MTY4Y2VkMg,,,,,,,,,,False,groups.members,"display_name,member_id,member_type","{""display_name"": ""Ana Fernández"", ""member_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS8xZWZiZjQ1Ny0zZWRkLTQ0MDUtYWNhYi1hNGZjMjY4ZmMyM2I"", ""member_type"": ""user""}"
Y2lzY29zcGFyazovL3VzL1BFT1BMRS81NzFhYTk0Ni0yNTU2LTRjOGEtYWNjMC0zNjMyNjQwN2MyZWM,zona_10,,,Y2lzY29zcGFyazovL3VzL1BFT1BMRS81NzFhYTk0Ni0yNTU2LTRjOGEtYWNjMC0zNjMyNjQwN2MyZWM,machine,,,,,,Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvNGZmZDhiZjMtZGUzMS00NDEyLThkZGEtYjQ0MjRiMTE5YjQ4OmU1ZjdkOTczLWIyNjktNDY4Ni05OTdlLTQ1MTE5MTY4Y2VkMg,,,,,,,,,,False,groups.members,"display_name,member_id,member_type","{""display_name"": ""zona_10"", ""member_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS81NzFhYTk0Ni0yNTU2LTRjOGEtYWNjMC0zNjMyNjQwN2MyZWM"", ""member_type"": ""machine""}"
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9lMTNlY2U0Yi0zNDIxLTQ0N2YtODIzZS0yZTdlNDVjZDA2Y2Q,CQ-LAB-VENTAS,,,Y2lzY29zcGFyazovL3VzL1BFT1BMRS9lMTNlY2U0Yi0zNDIxLTQ0N2YtODIzZS0yZTdlNDVjZDA2Y2Q,machine,,,,,,Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvNGZmZDhiZjMtZGUzMS00NDEyLThkZGEtYjQ0MjRiMTE5YjQ4OmU1ZjdkOTczLWIyNjktNDY4Ni05OTdlLTQ1MTE5MTY4Y2VkMg,,,,,,,,,,False,groups.members,"display_name,member_id,member_type","{""display_name"": ""CQ-LAB-VENTAS"", ""member_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS9lMTNlY2U0Yi0zNDIxLTQ0N2YtODIzZS0yZTdlNDVjZDA2Y2Q"", ""member_type"": ""machine""}"
Y2lzY29zcGFyazovL3VzL1BFT1BMRS81NDQ5NjNjZi0yNzI3LTQ0NGQtOGM3Yi1jYTRhNzNkZDU1MmY,AA-LAB-REAL-1,,,Y2lzY29zcGFyazovL3VzL1BFT1BMRS81NDQ5NjNjZi0yNzI3LTQ0NGQtOGM3Yi1jYTRhNzNkZDU1MmY,machine,,,,,,Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvNGZmZDhiZjMtZGUzMS00NDEyLThkZGEtYjQ0MjRiMTE5YjQ4OmU1ZjdkOTczLWIyNjktNDY4Ni05OTdlLTQ1MTE5MTY4Y2VkMg,,,,,,,,,,False,groups.members,"display_name,member_id,member_type","{""display_name"": ""AA-LAB-REAL-1"", ""member_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS81NDQ5NjNjZi0yNzI3LTQ0NGQtOGM3Yi1jYTRhNzNkZDU1MmY"", ""member_type"": ""machine""}"
Y2lzY29zcGFyazovL3VzL1BFT1BMRS8yNTliZDY0Ny1iNWQwLTQ1OTctYmIzOS1hMjNhYmU2Mjc1OWQ,AA-LAB-5102-1770579732,,,Y2lzY29zcGFyazovL3VzL1BFT1BMRS8yNTliZDY0Ny1iNWQwLTQ1OTctYmIzOS1hMjNhYmU2Mjc1OWQ,machine,,,,,,Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvNGZmZDhiZjMtZGUzMS00NDEyLThkZGEtYjQ0MjRiMTE5YjQ4OmU1ZjdkOTczLWIyNjktNDY4Ni05OTdlLTQ1MTE5MTY4Y2VkMg,,,,,,,,,,False,groups.members,"display_name,member_id,member_type","{""display_name"": ""AA-LAB-5102-1770579732"", ""member_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS8yNTliZDY0Ny1iNWQwLTQ1OTctYmIzOS1hMjNhYmU2Mjc1OWQ"", ""member_type"": ""machine""}"
Y2lzY29zcGFyazovL3VzL1BFT1BMRS82MGQwZWM0Ni0wZjZkLTQzYjYtYjFkZS1kZjFiNjZjODRkZDk,AA-LAB-REAL-2,,,Y2lzY29zcGFyazovL3VzL1BFT1BMRS82MGQwZWM0Ni0wZjZkLTQzYjYtYjFkZS1kZjFiNjZjODRkZDk,machine,,,,,,Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvNGZmZDhiZjMtZGUzMS00NDEyLThkZGEtYjQ0MjRiMTE5YjQ4OmU1ZjdkOTczLWIyNjktNDY4Ni05OTdlLTQ1MTE5MTY4Y2VkMg,,,,,,,,,,False,groups.members,"display_name,member_id,member_type","{""display_name"": ""AA-LAB-REAL-2"", ""member_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS82MGQwZWM0Ni0wZjZkLTQzYjYtYjFkZS1kZjFiNjZjODRkZDk"", ""member_type"": ""machine""}"
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9mZTE4NWY5ZC01ZjU2LTQ1N2ItODQ0My1jYTUzMTA2YzFhMmY,AA-LAB-MADRID,,,Y2lzY29zcGFyazovL3VzL1BFT1BMRS9mZTE4NWY5ZC01ZjU2LTQ1N2ItODQ0My1jYTUzMTA2YzFhMmY,machine,,,,,,Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvNGZmZDhiZjMtZGUzMS00NDEyLThkZGEtYjQ0MjRiMTE5YjQ4OmU1ZjdkOTczLWIyNjktNDY4Ni05OTdlLTQ1MTE5MTY4Y2VkMg,,,,,,,,,,False,groups.members,"display_name,member_id,member_type","{""display_name"": ""AA-LAB-MADRID"", ""member_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS9mZTE4NWY5ZC01ZjU2LTQ1N2ItODQ0My1jYTUzMTA2YzFhMmY"", ""member_type"": ""machine""}"
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9kYjE1YjRlOC0xMTNlLTQ5MWMtYmY4Mi02ZGUzNjIwMzE0ZjM,AA-LAB-RUN-1770579826,,,Y2lzY29zcGFyazovL3VzL1BFT1BMRS9kYjE1YjRlOC0xMTNlLTQ5MWMtYmY4Mi02ZGUzNjIwMzE0ZjM,machine,,,,,,Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvNGZmZDhiZjMtZGUzMS00NDEyLThkZGEtYjQ0MjRiMTE5YjQ4OmU1ZjdkOTczLWIyNjktNDY4Ni05OTdlLTQ1MTE5MTY4Y2VkMg,,,,,,,,,,False,groups.members,"display_name,member_id,member_type","{""display_name"": ""AA-LAB-RUN-1770579826"", ""member_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS9kYjE1YjRlOC0xMTNlLTQ5MWMtYmY4Mi02ZGUzNjIwMzE0ZjM"", ""member_type"": ""machine""}"
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9lNTYxMTA5Ni00ZjQ2LTQ1Y2EtOTE5Ni03YjBhNDUzNTI1M2U,admin@jmareschlop-6xlr.wbx.ai,,,Y2lzY29zcGFyazovL3VzL1BFT1BMRS9lNTYxMTA5Ni00ZjQ2LTQ1Y2EtOTE5Ni03YjBhNDUzNTI1M2U,machine,,,,,,Y2lzY29zcGFyazovL3VzL1NDSU1fR1JPVVAvNGZmZDhiZjMtZGUzMS00NDEyLThkZGEtYjQ0MjRiMTE5YjQ4OmU1ZjdkOTczLWIyNjktNDY4Ni05OTdlLTQ1MTE5MTY4Y2VkMg,,,,,,,,,,False,groups.members,"display_name,member_id,member_type","{""display_name"": ""admin@jmareschlop-6xlr.wbx.ai"", ""member_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS9lNTYxMTA5Ni00ZjQ2LTQ1Y2EtOTE5Ni03YjBhNDUzNTI1M2U"", ""member_type"": ""machine""}"
